"Id";"ZipCode";"Place"
1522;2762;"Roches BE"
1523;2800;"Delémont"
1524;2800;"Delémont"
1525;2802;"Develier"
1526;2803;"Bourrignon"
1527;2803;"Bourrignon"
1528;2805;"Soyhières"
1529;2806;"Mettembert"
1530;2806;"Mettembert"
1531;2807;"Pleigne"
1532;2807;"Lucelle"
1533;2812;"Movelier"
1534;2813;"Ederswiler"
1535;2813;"Ederswiler"
1536;2813;"Ederswiler"
1537;2814;"Roggenburg"
1538;2814;"Roggenburg"
1539;2814;"Roggenburg"
1540;2822;"Courroux"
1541;2823;"Courcelon"
1542;2824;"Vicques"
1543;2825;"Courchapoix"
1544;2826;"Corban"
1545;2827;"Mervelier"
1546;2827;"Schelten"
1547;2827;"Schelten"
1548;2828;"Montsevelier"
1549;2829;"Vermes"
1550;2830;"Courrendlin"
1551;2830;"Vellerat"
1552;2832;"Rebeuvelier"
1553;2832;"Rebeuvelier"
1554;2842;"Rossemaison"
1555;2843;"Châtillon JU"
1556;2852;"Courtételle"
1557;2852;"Courtételle"
1558;2853;"Courfaivre"
1559;2854;"Bassecourt"
1560;2855;"Glovelier"
1561;2856;"Boécourt"
1562;2857;"Montavon"
1563;2863;"Undervelier"
1564;2864;"Soulce"
1565;2873;"Saulcy"
1566;2873;"Saulcy"
1567;2882;"St-Ursanne"
1568;2882;"St-Ursanne"
1569;2883;"Montmelon"
1570;2883;"Montmelon"
1571;2883;"Montmelon"
1572;2883;"Montmelon"
1573;2884;"Montenol"
1574;2885;"Epauvillers"
1575;2886;"Epiquerez"
1576;2886;"Epiquerez"
1577;2887;"Soubey"
1578;2888;"Seleute"
1579;2889;"Ocourt"
1580;2889;"Ocourt"
1581;2900;"Porrentruy"
1582;2902;"Fontenais"
1583;2903;"Villars-Fontenais"
1584;2904;"Bressaucourt"
1585;2905;"Courtedoux"
1586;2906;"Chevenez"
1587;2907;"Rocourt"
1588;2908;"Grandfontaine"
1589;2912;"Réclère"
1590;2912;"Roche-d'Or"
1591;2914;"Damvant"
1592;2915;"Bure"
1593;2915;"Bure"
1594;2916;"Fahy"
1595;2916;"Fahy"
1596;2922;"Courchavon"
1597;2923;"Courtemaîche"
1598;2924;"Montignez"
1599;2925;"Buix"
1600;2926;"Boncourt"
1601;2932;"Coeuve"
1602;2933;"Damphreux"
1603;2933;"Lugnez"
1604;2935;"Beurnevésin"
1605;2942;"Alle"
1606;2943;"Vendlincourt"
1607;2944;"Bonfol"
1608;2946;"Miécourt"
1609;2947;"Charmoille"
1610;2950;"Courgenay"
1611;2950;"Courtemautruy"
1612;2952;"Cornol"
1613;2952;"Cornol"
1614;2953;"Fregiécourt"
1615;2953;"Pleujouse"
1616;2954;"Asuel"
1617;3004;"Bern"
1618;3005;"Bern"
1619;3006;"Bern"
1620;3007;"Bern"
1621;3007;"Bern"
1622;3008;"Bern"
1623;3010;"Bern"
1624;3011;"Bern"
1625;3012;"Bern"
1626;3013;"Bern"
1627;3014;"Bern"
1628;3015;"Bern"
1629;3018;"Bern"
1630;3019;"Bern"
1631;3020;"Bern"
1632;3020;"Bern"
1633;3027;"Bern"
1634;3032;"Hinterkappelen"
1635;3032;"Hinterkappelen"
1636;3033;"Wohlen b. Bern"
1637;3033;"Wohlen b. Bern"
1638;3034;"Murzelen"
1639;3035;"Frieswil"
1640;3035;"Frieswil"
1641;3036;"Detligen"
1642;3036;"Detligen"
1643;3037;"Herrenschwanden"
1644;3037;"Herrenschwanden"
1645;3037;"Herrenschwanden"
1646;3038;"Kirchlindach"
1647;3042;"Ortschwaben"
1648;3042;"Ortschwaben"
1649;3042;"Ortschwaben"
1650;3043;"Uettligen"
1651;3044;"Innerberg"
1652;3045;"Meikirch"
1653;3045;"Meikirch"
1654;3046;"Wahlendorf"
1655;3047;"Bremgarten b. Bern"
1656;3048;"Worblaufen"
1657;3048;"Worblaufen"
1658;3049;"Säriswil"
1659;3052;"Zollikofen"
1660;3052;"Zollikofen"
1661;3053;"Münchenbuchsee"
1662;3053;"Münchenbuchsee"
1663;3053;"Münchenbuchsee"
1664;3053;"Deisswil Mbuchsee"
1665;3053;"Diemerswil"
1666;3053;"Wiggiswil"
1667;3053;"Lätti"
1668;3054;"Schüpfen"
1669;3063;"Ittigen"
